Country,Year_2008_2009,Year_2009_2010,Year_2010_2011,Year_2011_2012,Year_2012_2013,Year_2013_2014,Year_2014_2015,Year_2015_2016,Year_2016_2017,Year_2017_2018,Year_2018_2019,Year_2019_2020,Year_2020_2021,Year_2021_2022,Year_2022_2023,Year_2023_2024,Year_2024_2025
 ISRAEL ,658430.72,928943.79,2069068.0,1932660.0,2034668.0,2275714.0,467133.0,344295.0,28849.0,33684.0,3401029.0,3200287.0,3281818.0,4604199.0,4383430.0,4269323.0,4269323.0
 ITALY ,1736487.94,1607224.74,10151.0,2327166.0,2377873.0,3188717.0,2007125.0,1846687.0,2578624.0,3050599.0,1525299.5,0.0,467334.0,662510.0,331255.0,0.0,96958.0
 JAMAICA ,10342.24,9859.82,2317903.0,12805.0,16204.0,21854.0,3111842.0,2763465.0,1381733.0,1.0,405807.0,677087.0,167239.0,175648.0,1721010.0,1212862.0,41902.0
 JAPAN ,1380771.3,1714278.6,220230.0,3051134.0,3321416.0,4125345.0,23174.0,26349.0,350435.0,347843.0,100412.0,143560.0,1403084.0,1962269.0,349940.0,195929.0,292287.0
 JORDAN ,196036.4,116368.75,78443.0,397686.0,545265.0,982730.0,3283569.0,3043467.0,81084.0,80792.0,1444068.0,1493657.0,530.0,1223.0,2628344.0,2631295.0,1376.0
 KAZAKHSTAN ,60244.72,64821.66,994753.0,117145.0,155914.0,158010.0,869670.0,326543.0,1471468.0,1272449.0,255.0,272.0,2088.0,253.0,1220.0,858.0,51.0
 KENYA ,614088.18,689241.82,57.0,1098722.0,2052570.0,2359554.0,153244.0,99437.0,316.0,355.0,19112.0,6375.0,3469423.0,6034957.0,1372.0,1700.0,730428.0
 KIRIBATI REP ,980.0,155.9,149100.0,589.0,194.0,579.0,2514813.0,1977751.0,30064.0,37219.0,3287797.0,3433765.0,779651.0,926388.0,5327535.0,5311499.0,296760.0
 KOREA DP RP ,403661.57,199342.66,1695281.0,110708.0,109939.0,114326.0,616.0,615.0,2843672.0,2875144.0,931940.0,911191.0,28605.0,24514.0,1255483.0,1743093.0,6148.0
 KOREA RP ,1835359.19,1612681.15,844710.0,2076776.0,2287025.0,2547092.0,46806.0,72976.0,1004666.0,880376.0,20959.0,20641.0,20338.0,10911.0,42212.0,37847.0,1955.0
 KUWAIT ,362840.57,371037.53,11725.0,566532.0,577830.0,643494.0,2808474.0,2304348.0,20384.0,18427.0,27505.0,17738.0,76676.0,98953.0,13660.0,10659.0,30538.0
 KYRGHYZSTAN ,10385.08,12691.45,5944.0,14666.0,19038.0,20820.0,733291.0,816059.0,17221.0,16116.0,81020.0,84444.0,140719.0,233795.0,151126.0,182514.0,45416.0
